"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"GPNMB"	"GPNMB"	-0.710539266487736	1.34501878685972	0.796286501775575	0.299503700775554	-0.552887846794386	-1.08726120306345	"S03"	1.34501878685972	"IS02"
"GRN"	"GRN"	0.281490367956431	1.27704822788952	0.206184889081286	-0.397734819456324	-0.776507761217557	-0.975768604044684	"S03"	1.27704822788952	"IS02"
"TXN"	"TXN"	0.218101868175486	1.26088145450542	-0.982885848883049	-0.0319413390224524	-0.560394934145871	-0.700763085665915	"S03"	1.26088145450542	"IS02"
"FBP1"	"FBP1"	-0.0560850354807418	1.25554852336592	0.0420864503164065	-0.277969761652546	-0.597819729957566	-0.786035364878689	"S03"	1.25554852336592	"IS02"
"HSD11B1"	"HSD11B1"	0.290738191230099	1.24710372325955	0.405237957146462	-0.0544849216674905	-0.466393410029481	-1.4711604110532	"S03"	1.24710372325955	"IS02"
"PLA2G2D"	"PLA2G2D"	0.155377524344419	1.24213437372588	0.821657146256135	-0.0440948896495813	-0.708100321874095	-1.39355148279788	"S03"	1.24213437372588	"IS02"
"GM2A"	"GM2A"	-0.296135671332966	1.24140844759451	0.91254879767525	-0.00833360450499975	-0.417767667670435	-1.28092790246369	"S03"	1.24140844759451	"IS02"
"TCN2"	"TCN2"	-0.261707828626064	1.23026399113315	0.440205452306549	-0.281801982446471	-0.361296906832248	-0.939904034311876	"S03"	1.23026399113315	"IS02"
"CHI3L1"	"CHI3L1"	-0.240097294951227	1.21953643161386	0.986859796383552	0.112491891881549	-1.23592207928838	-0.848075098149464	"S03"	1.21953643161386	"IS02"
"CLEC4E"	"CLEC4E"	0.364284135245097	1.21173565208096	0.191645444054732	-0.136676795502448	-0.255200872036157	-1.48552227913965	"S03"	1.21173565208096	"IS02"
"SLC1A3"	"SLC1A3"	-0.187994741172031	1.19043787012543	0.308405560361143	-0.14986931392889	-0.576706874559418	-0.82527940680676	"S03"	1.19043787012543	"IS02"
"MMP9"	"MMP9"	0.872181703640509	1.17810209855959	-0.0275232610000389	-0.311004461637686	-0.266969284238878	-1.65272450268026	"S03"	1.17810209855959	"IS02"
"MMP12"	"MMP12"	0.105293794569646	1.17644443882696	0.240935229347166	0.239355322264663	-0.47896635271782	-1.32849369503995	"S03"	1.17644443882696	"IS02"
"PADI2"	"PADI2"	-0.195984739423726	1.17372899850818	0.514541132961921	-0.881430900972931	-1.00698373334518	-0.155101155589882	"S03"	1.17372899850818	"IS02"
"MMP14"	"MMP14"	-0.161330407825907	1.16911481453736	0.282014114365037	-0.485333731761083	-0.583147687802894	-0.601439528514665	"S03"	1.16911481453736	"IS02"
"NR1H3"	"NR1H3"	-0.435217020970103	1.14270504696329	1.14183436680352	-0.678684586087648	-0.707530085490366	-0.555506950887528	"S03"	1.14270504696329	"IS02"
"HTRA4"	"HTRA4"	0.474983731113133	1.1297013260993	0.718879588169672	-0.834613320972658	-0.754034714647921	-0.97122019993	"S03"	1.1297013260993	"IS02"
"CYP27A1"	"CYP27A1"	0.264047389297219	1.12617131799869	0.694205172698413	-0.71726129669229	-0.994437627506285	-0.684138016095524	"S03"	1.12617131799869	"IS02"
"SLC31A2"	"SLC31A2"	-0.25738930905123	1.12403722115055	1.07746920235052	-0.38427142066771	-0.611903949392567	-0.898784268520604	"S03"	1.12403722115055	"IS02"
"ALOX15B"	"ALOX15B"	0.31908370365971	1.09780793643818	0.131342879056353	-0.318608688836944	-0.405447548200672	-1.07656191016384	"S03"	1.09780793643818	"IS02"
"TNFSF15"	"TNFSF15"	-0.66880511119267	1.09497547459631	0.597016409028341	-0.294777334343112	-0.51141210184006	-0.41265720800409	"S03"	1.09497547459631	"IS02"
"PTGDS"	"PTGDS"	0.618294241128122	1.09361226430746	0.17712352350268	-0.192962103350356	-0.235105429142171	-1.53952583135998	"S03"	1.09361226430746	"IS02"
"ALAS1"	"ALAS1"	0.194062613107217	1.09010622915882	0.134339774432957	-0.197595421620974	-0.621085628431774	-0.889644387530587	"S03"	1.09010622915882	"IS02"
