NAME	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	NlPHL
DENND5B	48.4422301845867	83.323927954161	344.771787221046	4.99708860385648	5.54643681968467	6.21006398489014	8.70236505249403	2.23180824387449	5.9736382975792	35.7340119619464	29.1510969487493	4.95966613457809	5.02091877630823	14.6469312376165	7.86757700285639	37.3438337907134	12.9683403773371	28.8399943467714	6.23242549519616	13.104138395349	9.52745642059285	11.127873563	40.8428474915741
DGKA	431.041981681271	464.347332920907	203.283496339694	2247.07671607474	3157.37648552022	2724.00542495839	849.986318545707	3985.75449523719	554.422465061	3010.59749084466	396.552132090115	304.45357152902	303.045797413687	171.239348849966	171.516033649109	217.828048323788	199.391264235166	239.164559313167	151.139001740494	130.826248108433	431.842182716461	314.953392734876	77.5129232444467
DHRS11	54.4873807089679	70.2542743215031	71.1167714369841	90.8573629410303	126.502012896492	27.9435449449589	150.79194791397	73.9914908014555	34.9555948871484	60.0463764144675	63.3355603197266	87.4834064727382	47.2802169742921	267.535609696752	18.9022857086755	244.431880591026	1090.54083949971	302.003296415779	70.7381176993546	70.2669429681329	27.6776036420899	54.6192021028648	148.650572319125
DHX58	14.0389244491563	16.9072171399684	12.9592723011384	69.7425163716076	303.983358776882	31.423296154333	14.8238596263251	88.164766783867	19.1287042622924	86.0818125382254	128.904006575704	29.8694881785232	67.5011755559205	22.1053717513502	1401.09747779276	236.01415598347	34.3154502067783	1540.64015158384	27.7359144091844	22.106397900399	18.2450442630249	20.0853154360882	87.4834064727382
DNASE1	5.94218360134757	6.22641962388416	7.57988374833459	11.1047138755723	22.299276685114	6.38233256941088	8.23038041504741	40.1706445510362	17.9639728125824	39.6373975140534	10.1632698249613	8.38505287464269	8.08443498334946	8.09664718348669	13.2786718498184	8.81844846377142	11.7066533016011	9.19220901265331	14.4534557753051	15.4655111855607	13.7191229461362	7.02246513677922	255.23319862384
DPEP2	699.93262301661	463.149637032804	11.2494507649815	473.122528017062	1235.60712982712	635.34314852081	9.17484860976833	332.132919265837	501.256844511519	343.584504724398	640.213348898897	22.4909758912959	1480.64816281596	116.925976806359	16.3919647717394	2403.97209068203	505.568903446148	38.2507413097225	160.340533224383	132.873713600381	4150.99309351858	4356.8505306349	420.417740045247
DPP4	19.5231111708165	16.5847598412352	15.924800990842	696.43951838427	700.585488622904	1047.25558536491	898.148018640757	23.0259400683051	386.759478701127	874.742458280091	44.0283977077702	394.52190343813	19.845645967337	17.6228843758519	177.88749980766	33.5121446058465	11.9549641607125	140.236670671571	69.9895020150499	26.0499489957506	18.7870757973518	19.6094511940401	53.2863854015095
DSC1	82.740813830226	48.5191807507626	45.5545424992407	414.332884059083	797.768688116011	15.8000083533478	10.3053297459062	7.77450285372712	84.0389947840613	23.5370368474034	21.5360344208392	24.193438899868	19.0789046215393	15.0569395088348	11.7295047625268	6.78620129758299	46.2272974117467	14.7523870756758	34.9722669135867	36.1476250912754	71.3786498585883	42.149634789133	73.0819027164296
DUSP2	13.4011735686618	140.823989177544	32.7547618392533	4166.03423612832	323.539358500748	2023.53304568093	2331.58609148332	2353.73375554562	4637.89440595026	321.141670698484	496.607085121635	311.70086127364	406.390497519199	492.053126254948	572.244499791417	263.284804352604	293.549121021545	540.286934473169	40.5069026353583	761.007560603014	1011.68248396533	89.7071819617064	4369.71484218951
EAF2	3227.20740837955	2064.31374698743	5157.77809671319	223.242541464709	245.188963890435	140.18112883496	268.436350974064	199.156474902802	183.346772689088	209.488154792425	200.983843966326	186.451178517661	685.607595161124	282.378771229941	287.562896701153	282.27384754007	232.167693558123	469.669668925214	406.606005497507	401.733538929757	744.375844148116	240.929359347505	267.391187420239
EBI3	10.5932305519555	16.9633871244997	8.920341664726	12.4047021010591	15.4717368327944	11.6923999786805	120.843177067169	11.8970503707204	8.3866188201979	164.891332979907	10.1965989289885	17.0767332174956	12.582539729222	13.2394625760736	20940.8178532638	312.569829911419	16.9581630221637	6475.85212045157	9.05612823084314	136.658027789988	9.56634580647948	11.6497109215397	3492.00369402539
EFNA5	5.53144167867646	9.12267381625674	8.94427274377586	12.2038214066181	119.675785274987	24.4579581647004	14.3075738434943	78.6990200790082	78.7226547092812	241.821638260617	30.3358225883337	44.3201713646324	17.0682394841559	14.6579614571605	65.1486377872337	57.6875099277264	19.9911135326909	36.0581704053433	60.817949574664	12.2858834585431	82.847114689938	38.6426010265967	320.798699559718
