"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"ONECUT1"	"ONECUT1"	0.425188298898869	-0.425188298898869	"IS01"	0.425188298898869
"SULT1C3"	"SULT1C3"	0.423764434463912	-0.423764434463912	"IS01"	0.423764434463912
"CLTB"	"CLTB"	0.420225260398829	-0.420225260398829	"IS01"	0.420225260398829
"ESF1"	"ESF1"	0.415534020650573	-0.415534020650573	"IS01"	0.415534020650573
"SAMD1"	"SAMD1"	0.415231811223228	-0.415231811223228	"IS01"	0.415231811223228
"FBLN7"	"FBLN7"	0.41165979782359	-0.41165979782359	"IS01"	0.41165979782359
"OR1K1"	"OR1K1"	0.409439397825002	-0.409439397825002	"IS01"	0.409439397825002
"NMRK2"	"NMRK2"	0.40825539436292	-0.40825539436292	"IS01"	0.40825539436292
"ADGRF1"	"ADGRF1"	0.407809161325646	-0.407809161325646	"IS01"	0.407809161325646
"CHAD"	"CHAD"	0.40655378550421	-0.40655378550421	"IS01"	0.40655378550421
"GEMIN6"	"GEMIN6"	0.402690639935567	-0.402690639935567	"IS01"	0.402690639935567
"ARHGAP30"	"ARHGAP30"	0.402045621652032	-0.402045621652032	"IS01"	0.402045621652032
"OXNAD1"	"OXNAD1"	0.396310120464596	-0.396310120464596	"IS01"	0.396310120464596
"HRAS"	"HRAS"	0.392243294485446	-0.392243294485446	"IS01"	0.392243294485446
"SYF2"	"SYF2"	0.392060417812645	-0.392060417812645	"IS01"	0.392060417812645
"SPEF1"	"SPEF1"	0.38831305439398	-0.38831305439398	"IS01"	0.38831305439398
"NRBP1"	"NRBP1"	0.379776888179903	-0.379776888179903	"IS01"	0.379776888179903
"LGALS13"	"LGALS13"	0.376827239691268	-0.376827239691268	"IS01"	0.376827239691268
"CCDC47"	"CCDC47"	0.375525837217267	-0.375525837217267	"IS01"	0.375525837217267
"C9orf92"	"C9orf92"	0.374574847017498	-0.374574847017498	"IS01"	0.374574847017498
"CLPTM1L"	"CLPTM1L"	0.373408044739598	-0.373408044739598	"IS01"	0.373408044739598
"BCCIP"	"BCCIP"	0.372605760535462	-0.372605760535462	"IS01"	0.372605760535462
"USP17L18"	"USP17L18"	0.37238125107979	-0.37238125107979	"IS01"	0.37238125107979
"NMS"	"NMS"	0.371506275560099	-0.371506275560099	"IS01"	0.371506275560099
