"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"KDM6B"	"KDM6B"	-0.755087795138342	-0.206562720371516	0.802791471856125	"IS03"	0.802791471856125
"MTRNR2L7"	"MTRNR2L7"	-0.403740681908139	-0.469873021365548	0.798830444272894	"IS03"	0.798830444272894
"GCM2"	"GCM2"	0.0998553651540123	-0.852390330279501	0.798404304105386	"IS03"	0.798404304105386
"OR5D18"	"OR5D18"	0.257823217223319	-0.967332091775068	0.793081874525261	"IS03"	0.793081874525261
"HES4"	"HES4"	-1.09484345618239	0.0632669684384647	0.790985696381608	"IS03"	0.790985696381608
"RERGL"	"RERGL"	-0.127404373037017	-0.671808260008523	0.790409593810895	"IS03"	0.790409593810895
"FAM189A1"	"FAM189A1"	-0.498010627255155	-0.387936942687422	0.788286948175191	"IS03"	0.788286948175191
"MYL1"	"MYL1"	0.271144311681799	-0.97228777174641	0.787762054930068	"IS03"	0.787762054930068
"CTNNA2"	"CTNNA2"	-0.00996993785959783	-0.756326572529508	0.785496354615853	"IS03"	0.785496354615853
"IL11"	"IL11"	-0.174823797078814	-0.629858090541027	0.784350367772289	"IS03"	0.784350367772289
"ATP5EP2"	"ATP5EP2"	0.178505496091097	-0.895165743688229	0.780893304356017	"IS03"	0.780893304356017
"STRN4"	"STRN4"	-0.779037741596799	-0.167021446352549	0.780858808374792	"IS03"	0.780858808374792
"POLR2L"	"POLR2L"	-0.467281726813144	-0.403807206021064	0.780579281576284	"IS03"	0.780579281576284
"ANAPC11"	"ANAPC11"	-0.763872139098379	-0.177327376719516	0.779598250472568	"IS03"	0.779598250472568
"PRLHR"	"PRLHR"	0.322452030736324	-0.999028074022892	0.775141373821732	"IS03"	0.775141373821732
"GRXCR2"	"GRXCR2"	0.28841686446942	-0.971980509561317	0.773940975583336	"IS03"	0.773940975583336
"OR1L1"	"OR1L1"	0.174939440127652	-0.885278715111025	0.773515102061456	"IS03"	0.773515102061456
"LILRA5"	"LILRA5"	-0.855366618451919	-0.100997251295535	0.772649044128975	"IS03"	0.772649044128975
"LPAR3"	"LPAR3"	-0.526225377210163	-0.350237560398714	0.771582811750392	"IS03"	0.771582811750392
"KRTAP23.1"	"KRTAP23.1"	0.277751807067331	-0.95907697819185	0.769011617556946	"IS03"	0.769011617556946
"OPN4"	"OPN4"	0.274666935896181	-0.956002322908805	0.768262081431605	"IS03"	0.768262081431605
"NRXN1"	"NRXN1"	-0.844657613637884	-0.101642424554535	0.764939250404465	"IS03"	0.764939250404465
"CABS1"	"CABS1"	0.271439848300825	-0.950096669826386	0.764712737802211	"IS03"	0.764712737802211
"PLEKHM2"	"PLEKHM2"	-0.893660238605268	-0.06231166980971	0.762811345590625	"IS03"	0.762811345590625
"SLC25A11"	"SLC25A11"	-0.86612454840216	-0.0824639539501548	0.762003433609565	"IS03"	0.762003433609565
"OR2M2"	"OR2M2"	0.415191415081923	-1.0558913875634	0.761100247883385	"IS03"	0.761100247883385
"OR52E5"	"OR52E5"	0.265771728996758	-0.94224519245767	0.761071182978212	"IS03"	0.761071182978212
"SPANXN1"	"SPANXN1"	0.370552669754429	-1.01850771929125	0.757562407977724	"IS03"	0.757562407977724
"LAMP5"	"LAMP5"	-0.865431679282679	-0.0723306733473109	0.751042034366554	"IS03"	0.751042034366554
"GPR88"	"GPR88"	-0.44316188774929	-0.392008031973162	0.749587734964783	"IS03"	0.749587734964783
"C2CD4C"	"C2CD4C"	-0.855989137092805	-0.070425635068964	0.741700184844925	"IS03"	0.741700184844925
"KRT78"	"KRT78"	0.321746534929888	-0.963780542850137	0.739449332692025	"IS03"	0.739449332692025
"OVOL2"	"OVOL2"	0.0843902540414625	-0.782700088883043	0.738836479720507	"IS03"	0.738836479720507
"FGFRL1"	"FGFRL1"	-0.723056318101749	-0.167101916755916	0.737170570368429	"IS03"	0.737170570368429
"GABRR2"	"GABRR2"	-0.848032952579108	-0.0716379073641752	0.736725903175813	"IS03"	0.736725903175813
"C1QTNF9B"	"C1QTNF9B"	0.00779021968918456	-0.718738300368322	0.732959421143492	"IS03"	0.732959421143492
"NOSIP"	"NOSIP"	-0.675936095129261	-0.195856477481577	0.729895208833935	"IS03"	0.729895208833935
"EPN2"	"EPN2"	-0.842947123760378	-0.0656187741919276	0.726560135591154	"IS03"	0.726560135591154
